Title,Romanised Title,A.K.A,Publisher(s),Year Release,Region,Decision,Platform,Rating,Consumer Advice,Decision Date,More Info
TIME AND ETERNITY,TIME AND ETERNITY,TOKI TO EIEN ~TOKI TOWA~,NIS,2013,"ASIA,EURO,US",Approved,Sony Playstation 3,Age Advisory,,04/07/2013,"‘Time and Eternity’ is a role-playing game that revolves around a couple, Zack and his bride, Toki, whose wedding comes to an abrupt end when they are attacked on the day of the ceremony. The attack led to Zack’s death but Toki was able to bring the couple back in time into the past to prevent the tragedy from occurring. As they embark on their journey to solve the mystery behind the attack, Zack learns of the presence of an alter-ego, Towa, who resides in the same body as Toki. Together, the trio tries to overcome a time paradox that is preventing the marriage from taking place. This game is rated with the advisory “Suitable for 16 & Above”. Over the course of the game, the player will be rewarded with still-images of female characters who are dressed in revealing clothing. These images also depict females posing in compromising positions that expose their undergarment. Another image shows a female character dressed in a wet shirt that reveals her cleavage and a partial view of the crotch. According to the classification guidelines, “still or moving images which may be mildly suggestive” is allowed at the Age Advisory rating. In one of the quests, the player character will attempt to peek at female characters in the showers. The quest then requires the player to obtain skills and objects to clear away the steam that is obscuring the view. After completing a series of side-quests, a scene of a topless female character with hair covering her breasts will be shown. While details such as the nipples are not depicted, the outlines of the breasts are clearly visible. Under the Age Advisory guidelines, “nudity without details such as nipples, genitalia or pubic region” can be allowed."
MARCH OF THE EAGLES,MARCH OF THE EAGLES,,PARADOX,2013,EURO,Approved,PC,General,,16/05/2013,
GRID 2,GRID 2,,CODEMASTERS,2013,EURO,Approved,"PC,Sony Playstation 3,Xbox 360",General,,16/05/2013,
PUZZLE CHRONICLES,PUZZLE CHRONICLES,,KONAMI,2010,US,Approved,Sony Playstation Portable (PSP),General,,26/07/2013,
THE SIMS 3 INTO THE FUTURE,THE SIMS 3 INTO THE FUTURE,,ELECTRONIC ARTS,2013,ASIA,Approved,"Macintosh,PC",General,,29/08/2013,
DRAGON'S CROWN,DRAGON'S CROWN,ドラゴンズクラウン,ATLUS / INDEX CORPORATION,2013,"ASIA,US",Approved,"Sony Playstation 3,Sony PS Vita",Age Advisory,,09/07/2013,"‘Dragon’s Crown’ is a side-scrolling action role-playing game set in a medieval fantasy world where a group of adventurers try to prevent the Dragon’s Crown, a magical treasure, from falling into the wrong hands. The player can choose any of 6 characters as the main protagonist. Each character has its own specific class with unique weapons, attacks and powers. While exploring ruins and dungeons across various environments, the player can collect skeletal remains of fallen warriors and revive them as companions on quests. Weapons and accessories can also be collected on these expeditions to customise the character’s arsenal and combat statistics. The game is rated with the advisory “Suitable for 16 & Above”. The player character and up to 3 combat support characters can embark on a variety of quests. The player can select from various character classes such as wizards, fighters, elves, dwarves and Amazon warriors. Combat occurs frequently against fantasy creatures such as minotaurs, harpies, wyverns, bats and giant spiders. Some blood splattering occurs when characters take damage in combat, but no injury details are depicted. Several female characters and enemy creatures are depicted in suggestive outfits that reveal cleavage, and have voluptuous body proportions with large breasts. Two of these females are playable characters and their breasts shake and bounce about exaggeratedly during any character movement. A mermaid character appears topless, with only her hair covering her nipples. The guidelines for Age Advisory permit “Nudity without details”, and state that “Still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
XBLAZE CODE: EMBRYO,XBLAZE CODE: EMBRYO,,ARC SYSTEM WORKS CO LTD.,2013,ASIA,Approved,"Sony Playstation 3,Sony PS Vita",Age Advisory,,22/07/2013,"‘XBlaze Code: Embryo’ is a visual novel that revolves around a student named Toya Kagari. Numerous reports have surfaced about mysterious deaths that have occurred in the city that Kagari is living in. After his escape from an attack by a raging man, Kagari meets a sword-wielding girl who later becomes his guardian. Spurred by his curiosity to uncover the truth behind the attack, Kagari, together with his new-found ally, begins investigating into the strange happenings within the city. The game is classified with the advisory ‘Suitable for 16 & Above’. The level of violence in the game is mild as instances of violence are implied through still-images that are presented on the screen; along with sound effects and dialogue text. Some details such as blood stains and ripped clothing can be seen but these are not realistic or graphic in nature. Several female characters in the game possess voluptuous figures and are occasionally depicted in swim suits or topless. While a lot of cleavage is exposed, details such as the nipples are not depicted. For example, in one still-image, a pair of topless female characters is seen taking a bath together but only the outlines of their breasts are visible. Under the classification guidelines for Age Advisory, “nudity without details including still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
HAKUOKI: WARRIORS OF THE SHINSENGUMI,HAKUOKI: WARRIORS OF THE SHINSENGUMI,,AKSYS GAMES,2013,US,Approved,Sony Playstation Portable (PSP),Age Advisory,,21/02/2013,"‘Hakuoki: Warriors Of The Shinsengumi’ is an action adventure game set in 19th century Japan where the player controls Samurai warriors to play through several story scenarios. The player has to eliminate waves of enemies and boss characters in combat to complete the level and progress. This game is given the advisory “Suitable for 16 & Above”. While the game’s dialogue is dubbed in Japanese, there are scenes where coarse language such as ‘f**k’ and its variations can be seen in the English subtitles. The guidelines for Age Advisory state that “Coarse language should generally be limited to the use of words like f**k”. The level of violence during combat is considered mild, without any blood or gore. However, several of the cinematic anime scenes depict blood, violence and some gore, including an un-detailed scene of decapitation where the silhouette of the victim’s body and severed head can be seen. Another scene also shows a bloodied hand with severed fingers. The Age Advisory guidelines permit a ‘moderate level of violence’, which refers to realistic but not excessively graphic violence with depiction of blood which may be included in the gameplay."
MAJOR LEAGUE BASEBALL 2K13,MAJOR LEAGUE BASEBALL 2K13,,TAKE 2/2K SPORTS/VISUAL CONCEPT,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",General,,06/02/2013,
GOD OF WAR: ASCENSION,GOD OF WAR: ASCENSION,,SONY COMPUTER ENTERTAINMENT INC.,2013,ASIA,Approved,Sony Playstation 3,Mature 18,STRONG VIOLENCE AND NUDITY,26/02/2013,"‘God of War: Ascension’ is a third-person, action-adventure game and details the story of Kratos, a demi-god destined to destroy the gods of Olympus. Realising that he had been tricked by Ares into killing his own wife and child, Kratos breaks the blood oath between him and the god, leading to his imprisonment and daily torture by the Furies. Despite the ordeals, Kratos manages to free himself and seeks redemption for the sins that he had committed and to ensure that the blood oath is forever broken. This game is classified M18 with the consumer advice “Strong Violence and Nudity”. During combat, the player character will battle mythical creatures and human enemies. Dismemberments and disembowelments are depicted when the player uses a special attack to finish off the enemy. During such an attack, the player character is also seen stabbing at an enemy repeatedly to finish it off. These instances of graphic violence are often highlighted by realistic blood sprays and blood stains that appear on nearby surfaces. Some cut-scenes also depict violence and gore, where human characters are impaled and strangulated by the player character. These depictions of realistic violence are within the M18 guidelines, where “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters, if it is not sadistic, cruel or abhorrent” is allowed. A cut-scene depicts the player character’s encounter with several topless women, whose bare breasts can be seen, including details such as the nipples. These women are later seen frolicking around the main character and making sexually-suggestive advances at him but no sexual act is depicted. Some enemies are also depicted with topless nudity where nipples are visible. Under the M18 guidelines for nudity, “non-exploitative depiction of topless nudity or occasional full frontal nudity” can be allowed but “should not titillate or be the main feature of the game”."
GRAND THEFT AUTO V,GRAND THEFT AUTO V,GRAND THEFT AUTO 5 / GTA V / GTA 5,TAKE 2/ROCKSTAR GAMES/ROCKSTAR NORTH,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Mature 18,"MATURE THEMES, VIOLENCE AND COARSE LANGUAGE",26/08/2013,"‘Grand Theft Auto V’ is an open-world, action-adventure game that is set in the fictitious city of Los Santos, where the lives of three criminals become intertwined with each other. The game is classified M18 with the consumer advice “Mature Themes, Violence and Coarse Language”. In the game, the player assumes the role of a criminal, playing as any one of the three protagonists. Over the course of the game, the player has to complete missions which consist of illegal activities such as robbery, drug trafficking, assassinations, participating in gang-wars, etc. There are no instructional details describing how these illegal activities are carried out. Under the M18 guidelines, “Content that requires the player to engage in illegal activities or play the role of a criminal” is allowed “so long as it does not contain detailed instructions for committing crimes”. During game play, players can attack both enemies (e.g. rival gang members, police) and non-adversaries (e.g. pedestrians) using a variety of weapons. These include assault rifles, pistols, sniper rifles, shotguns, etc. Blood splatter effects occur during combat and will leave behind blood stains on nearby surfaces and characters’ bodies. In one mission, the player is tasked to interrogate a victim for information, at the behest of a government agent. The player can use tools including a wrench, a jerry-can of water, a pair of car battery clips, and a pair of pliers to torture the victim, such as subjecting him to waterboarding or forcefully pulling out a tooth. Due consideration is given to the context that the player character is forced by a government agent to torture the victim. The M18 guidelines permit “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent”. The player may encounter sexual scenes when watching in-game television programmes or during cut-scenes. Some scenes depict heterosexual couples in sexual positions with visible thrusting movements. The player may also encounter homosexual scenes of same-gender kissing. In all instances of sexual scenes, the characters are fully-clothed and genitalia are not depicted. The M18 guidelines allow for the “portrayal of sexual activity with some nudity, both topless and frontal, if not detailed” and “homosexual activity should be limited to kissing and hugging”. Some activities and missions may contain scenes of nudity. The player may encounter female topless nudity at a night club where a female dancer can be engaged to perform a private lap dance. During the dance, the female performer is dressed only in a pair of underwear with her bare breasts and nipples exposed. In one mission, some male cultists are depicted walking around in the woods with exposed genitalia. As these occurrences of nudity are not a main feature of the game, they can be allowed under M18 which allow for “depiction of topless or occasional full frontal nudity, if not exploitative. Nudity should not titillate or be the main feature of the game”. The player can interact with various objects in safe houses such as a bong, cigarettes containing weed and a ball of cloth containing inhalant hallucinogen, which will trigger scenes of drug use. For example, the player character can pick up the bong and light it up with a lighter. Other instances of drug use occur during cut-scenes, such as a male character snorting white powder off a knife blade. “Realistic depiction of illegal drug use that should not include instructive details” is allowed under the M18 guidelines. While these scenes of drug use are realistic, they do not provide any instructional details of preparation, there are no associated rewards and the game does not glamorise or encourage drug taking."
SHIN MEGAMI TENSEI: DEVIL SUMMONER SOUL HACKERS,SHIN MEGAMI TENSEI: DEVIL SUMMONER SOUL HACKERS,,ATLUS,2013,ASIA,Approved,Nintendo 3DS,Age Advisory,,16/04/2013,"This is a role-playing game set in the fictitious Amami City. Originally a small town, it was transformed into a high-tech, information-oriented city by the government’s redevelopment. The main protaganist is a member of ""Spookies"", a group of hackers based in a trailer hideout. Strange things start happening when the group finds a mysterious gun-shaped handheld computer capable of summoning monsters and demons. During gameplay, the player and other characters will explore dungeon-like locales in various buildings to complete missions and progress the story. This game is given the advisory “Suitable for 16 & Above”. The level of violence is considered mild. There are limited depictions of blood and blood effects during combat, without any dismemberment or decapitation. Some female demons and monsters appear bare-bodied or wear clothing with exposed cleavage. There are no depictions of details such as nipples or genitalia. The guidelines at Age Advisory permit for “Nudity without details, eg. no nipples, genitalia or pubic region” and “Still or moving images which may be mildly suggestive”."
ETRIAN ODYSSEY IV: LEGENDS OF THE TITAN,ETRIAN ODYSSEY IV: LEGENDS OF THE TITAN,,ATLUS,2013,ASIA,Approved,Nintendo 3DS,General,,14/02/2013,
HARVEY BIRDMAN: ATTORNEY AT LAW,HARVEY BIRDMAN: ATTORNEY AT LAW,HARVEY BIRDMAN ATTORNEY AT LAW,CAPCOM,2008,US,Approved,"Nintendo Wii,Sony Playstation 2,Sony Playstation Portable (PSP)",General,,26/07/2013,
FIST OF THE NORTH STAR: KEN'S RAGE 2,FIST OF THE NORTH STAR: KEN'S RAGE 2,,TECMO KOEI GAMES CO.LTD,2013,ASIA,Approved,"Nintendo Wii U,Sony Playstation 3,Xbox 360",Age Advisory,,30/01/2013,"‘Fist of the North Star: Ken’s Rage 2’ is an action game that is set in a futuristic world where a wide-spread drought has affected people’s lives. Street thugs and gangs have seized control from the government and terrorise the survivors living in impoverished communities. The player takes on the role of martial artists who are attempting to liberate these communities from the oppressive street gangs’ rule. This game has been rated with the advisory ‘Suitable for 16 & Above’. During combat, large numbers of human enemies will appear on the screen and the player has to defeat all of them through the use of various martial art moves, including punches and kicks, and using different types of weaponry. Blood spurting occurs frequently when enemies are hit, often resulting in blood stains that appear on the ground and on the screen. Certain special moves can cause enemies’ body parts such as the chest and the head to swell and subsequently burst in a gush of blood. Although violence is bloody, dismemberments or decapitations do not occur. Enemies who have been defeated will collapse to the ground and fade away after a few seconds. Similarly, blood effects are also temporary. The level of violence is within the Age Advisory guidelines which state that “realistic but not excessively graphic violence with depiction of blood” can be allowed during game play."
DEAD OR ALIVE 5 PLUS,DEAD OR ALIVE 5 PLUS,DEAD OR ALIVE 5+,TECMO KOEI GAMES CO. LTD,2013,ASIA,Approved,Sony PS Vita,Age Advisory,,30/01/2013,"‘Dead or Alive 5 Plus’ is a fighting game that features 2 or 4 fighters taking part in a martial arts fight that occurs in an arena. In the story mode, the ninja Kasumi and other characters uncover a plot where clones of herself are created for nefarious purposes. They go on to participate in a tournament so as to infiltrate the cloning facility and stop the sinister plan. Players can play out different sub-stories depending on the characters that they choose. Gameplay comprises of arena fighting between characters that are selected from a roster of fighters who use different martial arts styles. Players can fight one-on-one or in tag battles with a partner, using an array of hand-to-hand combat and grapple moves. The fight ends when one party’s health is depleted or if the character(s) are knocked out of the arena. This game has been rated with the advisory ‘Suitable for 16 & Above’. The level of violence in the game is mild as details such as blood, injuries, dismemberments and decapitations, are not depicted. While there is no nudity in the game, female characters boast voluptuous figures and are often depicted in revealing outfits. A feature in the game allows the player to manipulate the camera after each fight to view the game characters’ fighting postures. Depending on the choice of outfit and the final pose of the character, the undergarment may be visible at certain camera angles. The classification guidelines at Age Advisory state that “still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
限界凸騎 モンスターモンピース,MONSTER MONPIECE,GENKAI TOTSUKI MONSTER MONPIECE,IDEA FACTORY,2013,ASIA,Approved,Sony PS Vita,Age Advisory,,01/02/2013,"‘Monster Monpiece’ is a card battle game where the player will collect various cards to combat opponents on a battle board. This game is given the advisory “Suitable for 16 & Above”. The game frequently depicts female characters in revealing outfits, sometimes with their underwear visible. The Age Advisory guidelines state that “Still or moving images which may be mildly suggestive may be featured, eg. scantily-clad women in bikinis or lingerie”. A card-upgrading mini-game prompts players to touch and probe a female character’s body, in order to ‘level up’ the card character. While this is sexually suggestive, it does not feature any sex or nudity."
LEGO CITY UNDERCOVER: THE CHASE BEGINS,LEGO CITY UNDERCOVER: THE CHASE BEGINS,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,13/03/2013,
KINGDOM HEARTS HD 1.5 REMIX,KINGDOM HEARTS HD 1.5 REMIX,,SQUARE ENIX,2013,ASIA,Approved,Sony Playstation 3,General,,06/02/2013,
LEGO CITY UNDERCOVER,LEGO CITY UNDERCOVER,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo Wii U,General,,13/03/2013,
仙劍奇俠傳五 前傳,XIAN JIAN QI XIA ZHUAN WU QIAN ZHUAN,仙劍奇俠傳五 前傳 精裝版,SOFTSTAR,2013,ASIA,Approved,PC,General,,21/01/2013,
THE SIMS 3: DRAGON VALLEY,THE SIMS 3: DRAGON VALLEY,THE SIMS 3 DRAGON VALLEY,ELECTRONIC ARTS,2013,ASIA,Approved,"Macintosh,PC",General,,03/06/2013,
ULTIMATE SHOOTER PACK,ULTIMATE SHOOTER PACK,,SONY COMPUTER ENTERTAINMENT INC.,2013,ASIA,Approved,Sony Playstation 3,Mature 18,KILLZONE 3: M18 (STRONG VIOLENCE AND COARSE LANGUAGE) / RESISTANCE 3: M18 (STRONG BLOODY VIOLENCE AND GORE),03/07/2013,"This compilation consists of ‘Killzone 3’ and ‘Resistance 3’. For more information on the game content, please refer to the individual games’ records in the classification database."
SQUARE ENIX ADVENTURE PACK,SQUARE ENIX ADVENTURE PACK,,SQUARE ENIX,2013,ASIA,Approved,Sony Playstation 3,Mature 18,TOMB RAIDER: M18 (VIOLENCE) / SLEEPING DOGS: M18 (STRONG VIOLENCE AND COARSE LANGUAGE),03/07/2013,"This compilation consists of ‘Tomb Raider (2013)’ and ‘Sleeping Dogs’. For more information on the game content, please refer to the individual games’ records in the classification database."
ULTIMATE ADVENTURE PACK,ULTIMATE ADVENTURE PACK,,SONY COMPUTER ENTERTAINMENT INC.,2013,ASIA,Approved,Sony Playstation 3,Mature 18,"GOD OF WAR III: M18 (STRONG VIOLENCE, GORE, SEXUAL THEMES AND NUDITY)",03/07/2013,"This compilation consists of ‘Uncharted 3: Drake’s Deception’ and ‘God Of War III’. For more information on the game content, please refer to the individual games’ records in the classification database."
聖闘士星矢 BRAVE SOLDIERS,SAINT SEIYA BRAVE SOLDIERS,聖闘士星矢 ブレイブ・ソルジャーズ,NAMCO BANDAI GAMES ASIA PTE LTD,2013,ASIA,Approved,Sony Playstation 3,General,,29/08/2013,
ALIEN RAGE,ALIEN RAGE,ALIEN FEAR,CITY INTERACTIVE,2013,EURO,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND GORE,09/05/2013,
VAMPIRE RESURRECTION,VAMPIRE RESURRECTION,DARKSTALKERS RESURRECTION,CAPCOM,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Age Advisory,,22/02/2013,"'Vampire Resurrection' is an arena fighting game, and a compilation of the fighting games 'Night Warriors: Darkstalkers' Revenge' and 'Darkstalkers 3'. The player can choose characters from a roster of fighters and engage in one-on-one arena fighting. Combo fighting moves can be executed to damage opponents and deplete their health meters for victory. This game is given the advisory “Suitable for 16 & Above”. Several female characters are frequently depicted in skimpy, cleavage-revealing outfits, sometimes in sexually suggestive poses. In some instances, they may appear to be naked, but the positioning of the limbs and bodies obscures details like bare breasts and genitalia. The guidelines at Age Advisory permit for “Nudity without details, eg. no nipples, genitalia or pubic region”, and “Still or moving images which may be mildly suggestive may be featured, eg. scantily-clad women in bikinis or lingerie”."
DISNEY INFINITY,DISNEY INFINITY,,2013,2013,US,Approved,"Nintendo Wii,Nintendo 3DS,PC,Nintendo Wii U,Sony Playstation 3,Xbox 360",General,,22/05/2013,
JAGGED ALLIANCE: GOLD EDITION,JAGGED ALLIANCE GOLD EDITION,,KALYPSO,2013,US,Approved,PC,Age Advisory,,30/04/2013,
VALHALLA KNIGHTS 3,VALHALLA KNIGHTS 3,,MARVELOUS AQL INC.,2013,ASIA,Approved,Sony PS Vita,Age Advisory,,17/05/2013,"‘Valhalla Knights 3’ is a role-playing game set in a fantasy world where the player takes on the role of an adventurer in search of a legendary lost treasure. This game is rated with the advisory “Suitable for 16 & Above”. The player can participate in a mini-game to recruit female characters into their party. During the mini-game, the player will use the touch-screen feature to simulate touching various parts of a female character’s body. By touching selected regions of their body, the level of affection with the female character will be raised, thereby unlocking the option to recruit them into the party. These female characters are usually dressed in revealing clothing and will respond to the player’s touch with audio and visual cues. This gives an overall suggestive tone to the mini-game. Under the Age Advisory guidelines, “still or moving images which may be mildly suggestive may be featured”."
MINECRAFT,MINECRAFT,MINECRAFT: XBOX 360 EDITION,MOJANG,2013,ASIA,Approved,"PC,Xbox 360",General,,27/05/2013,
TRON EVOLUTION: BATTLE GRIDS,TRON EVOLUTION: BATTLE GRIDS,,DISNEY,2010,US,Approved,"Nintendo DS,Nintendo Wii",General,,05/06/2013,
TOM CLANCY'S SPLINTER CELL: BLACKLIST,TOM CLANCY'S SPLINTER CELL: BLACKLIST,,UBISOFT,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND COARSE LANGUAGE,26/07/2013,"‘Tom Clancy’s Splinter Cell: Blacklist’ is a stealth action game. The main protagonist Sam Fisher is a covert operative tasked with stopping a group of terrorists known as The Engineers from launching their terror campaign across America, after a devastating attack on a US military base in Guam. The Engineers threaten that America will be attacked every seven days until the President orders all US troops stationed abroad to return home. The game is rated M18 for violence and coarse language. The player will frequently encounter enemy soldiers, and can engage them in close-quarters combat using a variety of weapons and advanced gadgets. Violence is frequently depicted during gameplay and in cinematic scenes. The player will have the freedom to utilise stealth, all-out confrontation, or a combination of stealth and lethal force, to complete missions. Brief blood splatter is depicted when characters take damage, and blood will stain the surrounding surfaces. Some non-interactive cinematic scenes depict interrogation sequences where victims and terrorists are tortured, by villains and the main character respectively, to extract information. A man’s fingers and hands are implied to be cut off by a terrorist, but no actual dismemberment is shown. Another scene depicts a video recording of a terrorist slitting the throat of a man. The guidelines at M18 state that “realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent”. Coarse language such as ‘motherf***er’ and variations of ‘f**k’ can be heard in the dialogue. These are acceptable under M18 where “Frequent use of strong coarse language” is permitted."
METAL GEAR SOLID: THE LEGACY COLLECTION,METAL GEAR SOLID THE LEGACY COLLECTION,,KONAMI,2013,ASIA,Approved,Sony Playstation 3,Age Advisory,,26/04/2013,
METAL GEAR RISING: REVENGEANCE,METAL GEAR RISING: REVENGEANCE,,KONAMI,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Mature 18,STRONG VIOLENCE AND GORE,19/02/2013,"‘Metal Gear Rising: Revengeance’, is an action game where the main character Raiden is a cyborg ninja working for a peacekeeping private military contractor (PMC). Raiden arrives in the nation of Abkhazia, trying to halt a military coup. He faces off against cyborg enemies from Desperado Enforcement, a rival PMC known to be responsible for various terrorist attacks, and leading the coup in Abkhazia. This game is rated M18 for strong violence and gore. ‘Metal Gear Rising: Revengeance’ features violent gameplay and gore. The main character, the cyborg ninja Raiden, battles other cyborg enemies with a katana, grenades and rocket launchers. These enemies can often be decapitated and dismembered into multiple parts. By cutting up enemies’ bodies, Raiden can also expose and extract an internal body component resembling a spine, to obtain a repair substance that replenishes health. Several cinematic scenes also depict strong violence with dismemberments and decapitations. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.” There is infrequent coarse language in the game, where instances of ‘motherf**ker’ and other variations of ‘f**k’ can be heard and seen in the dialogue and subtitles. M18 guidelines permit the “Frequent use of strong coarse language.”"
ANARCHY REIGNS,ANARCHY REIGNS,,SEGA,2013,US,Approved,"Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND STRONG COARSE LANGUAGE,30/01/2013,"‘Anarchy Reigns’ is an action fighting game that takes place in a post-apocalyptic world overrun with mutants and creatures. The player can play as either Jack Cayman or Leo Victorion in the single player campaign. Both Jack and Leo are seeking out the fugitive former agent Maximillian Caxton. The game is played from a third-person perspective, and the player has to complete main missions to progress the story. There are also many side-missions that the player can partake in to earn bonuses, power-ups, and more points to unlock further missions. During combat, the player character will engage in close-up melee battles against an assortment of mutant and cybernetic enemies and creatures, using a combo of punches, kicks and attacks with cybernetic weapon attachments such as a two-bladed chainsaw or laser blades. The game is rated M18 for violence and strong coarse language. Blood splattering occurs frequently during combat, where many mutant enemies will spew unrealistic-looking blue-coloured blood when attacked. Enemies can be dismembered into half with certain heavy attacks that the player character executes, but the gore parts are un-detailed and do not depict innards, flesh or bone. Blood stains and body parts will disappear from the environment after a few seconds. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent”. Strong coarse language such as ‘motherf**ker’ and ‘f**k’ can be frequently heard during gameplay and in cinematic scenes. “Frequent use of strong coarse language” is allowed under the M18 guidelines for language."
ATELIER AYESHA: THE ALCHEMIST OF DUSK,ATELIER AYESHA: THE ALCHEMIST OF DUSK,アーシャのアトリエ ～黄昏の大地の錬金術士～,KOEI,2013,ASIA,Approved,Sony Playstation 3,General,,05/03/2013,
FAST & FURIOUS: SHOWDOWN,FAST & FURIOUS: SHOWDOWN,,ACTIVISION,2013,US,Approved,"Nintendo 3DS,PC,Nintendo Wii U,Sony Playstation 3,Xbox 360",General,,08/04/2013,
SOUL SACRIFICE,SOUL SACRIFICE,,SONY COMPUTER ENTERTAINMENT INC.,2013,"ASIA,JP",Approved,Sony PS Vita,Age Advisory,,07/03/2013,
KILLZONE: MERCENARY,KILLZONE MERCENARY,,SONY COMPUTER ENTERTAINMENT INC,2013,ASIA,Approved,Sony PS Vita,Mature 18,VIOLENCE AND GORE,29/08/2013,"‘Killzone: Mercenary’ is a first person shooter set in a futuristic world where two nations are at war. The main character is a mercenary hired to fight for ISA forces, who are trying to liberate planet Vekta which is under siege by Helghast forces in a surprise invasion. This game is rated M18 for violence and gore. Gameplay consists of missions where the player frequently engages in combat with a variety of weapons such as assault rifles, pistols, shotguns, rocket launchers and grenades. The player can also take on enemies in hand-to-hand combat. The level of violence is strong and intense. Blood splatters and stains surrounding surfaces when characters take damage. The player can execute brutal melee attacks on enemies, such as slitting their throats or stabbing them in the head, chest, neck and other parts of the body with a combat knife. Decapitations can occur when enemies are shot in the head with certain firearms. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.”"
PAYDAY 2,PAYDAY 2,,505 GAMES,2013,US,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,MATURE THEMES AND COARSE LANGUAGE,26/07/2013,"‘PayDay 2’ is a first-person shooter in which the player assumes the role of a criminal-for-hire who carries out heists on behalf of his clients. The game is classified M18 with the consumer advice “Mature Themes and Coarse Language”. Missions require the player to rob banks, cause property damage, and manufacture drugs. Upon the completion of each mission, the player will be rewarded with money and weapon parts. Money can be used to purchase weapon upgrades, bullet-proof vests and tools (e.g. drills, ammo bags, power saws), while weapon parts are used to upgrade firearms. While the player is required to play the role of a criminal, there are no instructional details provided for the criminal activities. For example in one mission, the player has to gather chemicals for the manufacture of drugs, however, details such as the quantity to use or step-by-step instructions are not given. M18 guidelines permit “content that requires the player to engage in illegal activities or play the role of a criminal so long as it does not contain detailed instructions for committing crimes”. Firearms such as pistols, assault rifles, shotguns, submachine guns and explosives (e.g. mines, grenades) can be used by the player to kill police officers and special forces troops. Civilians may be encountered in some missions and can also be attacked by the player; however, the game does not instruct the player to attack them and doing so will result in a monetary penalty. Some details are depicted during instances of violence, including brief spurts of blood when characters are attacked and blood stains that appear on nearby surfaces. Graphic details such as dismemberments are not depicted. Under the M18 guidelines, “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters if the violence is not sadistic, cruel and abhorrent” is allowed."
BIOSHOCK INFINITE,BIOSHOCK INFINITE,,TAKE2/2K GAMES/IRRATIONAL,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND MATURE THEMES,18/01/2013,"‘Bioshock Infinite’ is a first-person shooter set in the fictitious sky city of Columbia, in an alternate-history America of 1912, where there are two main factions at civil war. The story follows the main protagonist Booker Dewitt, a private investigator who has been hired to infiltrate Columbia and rescue an imprisoned young woman named Elizabeth. The player will traverse and explore the city on foot, via skylines, gondolas and cable cars, in order to complete objectives. Aggressive human and mechanical enemies will be encountered throughout the different areas of Columbia. The game is rated M18 for violence and mature themes. Firearms like pistols, shotguns, rifles and rocket launchers are used in ranged combat. The player will also be able to procure and utilize special powers called Vigors, such as shooting fireballs and electricity bolts, or summoning murderous crows to attack enemies. The player can also melee attack and execute enemies up-close with the skyhook arm attachment. Blood splatter effects occur whenever characters take damage, and will leave blood stains on surrounding surfaces for a short duration before fading out. Attacking enemies with certain weapons will cause decapitation. Certain areas in the game are pre-rendered with blood and dead bodies when the player enters the area. Brainwashed enemies will aid the player in fighting other enemies, before turning their weapons on themselves and committing suicide. In one scene, a child is depicted self-immolating in order to set off a fire. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent”. A central theme of the game is discrimination and racial bias, based on the game’s context of early 20th century America, when there is widespread racist and discriminatory behaviour. The player will encounter representations of these biases against non-whites and certain ethnicities, in character dialogues and attitudes, propaganda posters and signs, songs, and separate living quarters and facilities for non-whites. Racial references that the player may hear include gook, chink, potato eater, paddy, negroes, colored people, yellow, reds, injuns and darkies. The exploration of such mature themes and content make the game suitable for audiences 18 and above. In certain areas, the player may encounter characters smoking in the game environment, including children. Through a kaleidoscope, the player can also view an in-game advertisement promoting a fictitious brand of cigarettes for minors."
